"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.382208360E-3,3.201841736E0,3.079695740E0,8.529412994E0
2.248320833E-2,3.097658386E0,3.064577179E0,8.689130859E0
4.258420836E-2,3.234174500E0,3.054248657E0,8.889713745E0
6.268520834E-2,3.736080780E0,3.279979248E0,8.500074005E0
8.278620837E-2,3.576961670E0,3.403173065E0,8.697363739E0
1.028882083E-1,3.061134338E0,3.045117645E0,8.671168213E0
1.229892083E-1,2.874322815E0,2.912493439E0,8.556955719E0
1.430902084E-1,3.217109985E0,3.085084534E0,8.444838867E0
1.631912083E-1,3.410058746E0,3.131488037E0,8.397986298E0
1.832922084E-1,3.566184082E0,3.218457184E0,8.265960846E0
2.033942083E-1,3.307222595E0,3.228636017E0,8.316855011E0
2.234952084E-1,3.378773804E0,3.269051971E0,8.640032959E0
2.435962083E-1,3.396886139E0,3.233875122E0,8.425678711E0
2.636972084E-1,3.088976440E0,3.148702240E0,8.232879639E0
2.837982083E-1,3.008892975E0,3.027154999E0,9.005722504E0
3.039002083E-1,2.951412506E0,2.194137268E0,9.068292389E0
3.240012084E-1,1.914219360E0,1.326691132E0,8.744815063E0
3.441022083E-1,1.590292969E0,1.894460449E0,8.700207825E0
3.642032084E-1,2.002984772E0,1.863175507E0,9.025032349E0
3.843042083E-1,3.300785980E0,2.898422699E0,8.770860901E0
4.044062084E-1,3.700454865E0,2.948418732E0,9.104367371E0
4.245072083E-1,4.107308807E0,2.053280182E0,1.079779587E1
4.446082084E-1,3.660338287E0,8.628057861E-1,1.173065598E1
4.647092083E-1,9.536668396E-1,1.488055573E0,8.268804932E0
4.848102083E-1,-2.249821472E-1,8.399034119E-1,7.900271301E0
5.049122084E-1,1.495090942E0,1.794169006E0,8.872798920E0
5.250132083E-1,2.297123108E0,2.078278198E0,9.804311829E0
5.451142084E-1,2.812201996E0,2.423909454E0,9.469458160E0
5.652152083E-1,2.264341278E0,2.469564514E0,7.934400330E0
5.853172084E-1,1.290316772E0,2.167193298E0,6.864724731E0
6.054182083E-1,8.436456299E-1,1.787433014E0,7.420518951E0
6.255196250E-1,1.584604797E0,1.320853271E0,9.377549286E0
6.456206250E-1,2.530188446E0,1.277892609E0,1.077594131E1
6.657216250E-1,2.934347992E0,1.521585846E0,9.820777588E0
6.858236250E-1,3.317401428E0,1.483864288E0,9.693691864E0
7.059246250E-1,3.041674805E0,9.505233765E-1,9.498198395E0
7.260256250E-1,1.933229828E0,8.018824768E-1,9.286388855E0
7.461266250E-1,8.180488586E-1,-4.340972900E-2,8.890462189E0
7.662276250E-1,1.461560669E0,4.625381470E-1,8.073311462E0
7.863296250E-1,3.354075165E0,1.052012329E0,7.555388489E0
8.064306250E-1,3.749852142E0,5.053491211E-1,7.834108887E0
8.265316250E-1,2.710862732E0,-1.880090332E-1,8.327931976E0
8.466326250E-1,2.511028290E0,-4.456233215E-1,8.722212067E0
8.667336250E-1,2.783611450E0,-8.409512329E-1,9.456584930E0
8.868356250E-1,2.465971985E0,-9.713301086E-1,9.394763489E0
9.069366250E-1,1.765428772E0,-1.411265259E0,8.938063202E0
9.270376250E-1,2.116149445E0,-1.386416931E0,8.252039795E0
9.471386250E-1,2.772684174E0,-1.810634766E0,7.166796570E0
9.672396250E-1,3.464545441E0,-1.960622864E0,6.877897339E0
9.873416250E-1,3.484753418E0,-2.345472565E0,7.431895294E0
1.007442625E0,4.002676392E0,-2.376458130E0,8.250393219E0
1.027543625E0,4.539759521E0,-2.770289154E0,7.845784607E0
1.047644625E0,4.411775665E0,-2.824177094E0,7.618108063E0
1.067745625E0,5.267097015E0,-2.633024597E0,7.750881958E0
1.087847625E0,6.195616150E0,-2.786156158E0,9.172026672E0
1.107948625E0,6.032754822E0,-2.815345459E0,1.046863037E1
1.128049625E0,5.535488892E0,-2.870580597E0,9.720186768E0
1.148150625E0,5.402265930E0,-2.959645386E0,8.009544067E0
1.168251625E0,5.622907104E0,-2.695444794E0,7.441774750E0
1.188353625E0,5.427114258E0,-2.996319122E0,8.791368256E0
1.208454625E0,5.207820282E0,-3.884122925E0,9.307644653E0
1.228555625E0,5.327571259E0,-3.983815613E0,9.106013947E0
1.248656625E0,6.281238098E0,-3.449127502E0,7.350015564E0
1.268757625E0,6.689289551E0,-3.160377960E0,6.314618683E0
1.288859625E0,6.598129120E0,-3.450474701E0,6.824159088E0
1.308960625E0,7.536378021E0,-3.714675293E0,7.803422699E0
1.329061625E0,9.034163361E0,-3.407514038E0,8.494086456E0
1.349162625E0,8.628057861E0,-3.589385834E0,7.699688416E0
1.369263625E0,7.037315826E0,-4.031416626E0,6.516399078E0
1.389365625E0,6.415359192E0,-4.306394806E0,6.242019653E0
1.409466625E0,6.908284149E0,-4.271068268E0,7.378606110E0
1.429567625E0,7.448959808E0,-4.187242584E0,7.996670837E0
1.449668625E0,7.171287231E0,-4.428989868E0,7.834408264E0
1.469769625E0,6.619833984E0,-4.437671814E0,6.838978271E0
1.489871625E0,5.892496490E0,-4.585414581E0,5.841901703E0
1.509972625E0,5.400170288E0,-4.919519806E0,5.276527405E0
1.530073625E0,4.816384277E0,-5.257966003E0,5.231471100E0
1.550174625E0,4.668940887E0,-5.677992554E0,5.535788269E0
1.570276625E0,4.424948273E0,-6.213878174E0,5.370232544E0
1.590377625E0,4.234693909E0,-6.633156281E0,5.270539856E0
1.610478625E0,6.103707275E0,-6.216722260E0,5.059179382E0
1.630579625E0,7.957003326E0,-6.475833435E0,4.964276733E0
