"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.243220834E-2,2.097471654E-1,-2.237655967E-1,-4.233666882E-2
3.253320837E-2,2.158911526E-1,-7.839673012E-2,1.533829048E-2
5.263520835E-2,1.438958645E-1,3.914665431E-2,-1.001399010E-2
7.273620833E-2,3.705205768E-2,9.804509580E-2,-1.056774482E-1
9.283720836E-2,1.175745763E-2,6.998900324E-2,-7.765077055E-2
1.129382083E-1,-1.474027522E-2,1.275743544E-2,3.639877308E-3
1.330392084E-1,-6.279534101E-2,5.919868872E-2,2.387531847E-2
1.531412083E-1,-1.622239649E-1,2.114839405E-1,-4.857311491E-3
1.732422084E-1,-3.004300594E-1,3.951340914E-1,-2.201834694E-2
1.933432083E-1,-4.340804815E-1,5.015379786E-1,-3.154415637E-2
2.134442083E-1,-5.011152625E-1,6.637656689E-1,-1.273442642E-3
2.335452083E-1,-4.997115135E-1,8.674384356E-1,-5.820047855E-2
2.536472083E-1,-5.348522663E-1,8.605388403E-1,-2.096718103E-1
2.737482084E-1,-4.455676079E-1,6.249389052E-1,-3.540229797E-1
2.938492083E-1,-4.087126851E-1,7.431477904E-1,-3.596181571E-1
3.139502084E-1,-6.509524584E-1,1.253918171E0,7.922725379E-2
3.340512083E-1,-9.987047911E-1,1.554568291E0,5.989394188E-1
3.541532083E-1,-1.031299829E0,1.247836590E0,6.663737893E-1
3.742542083E-1,-7.889039516E-1,5.164315701E-1,1.089871228E-1
3.943552083E-1,-3.396511376E-1,2.173111737E-1,-5.023193359E-1
4.144562084E-1,2.649043202E-1,-1.848318577E-1,-1.175085425E0
4.345572083E-1,1.012687802E0,5.243469477E-1,-1.628143072E0
4.546592084E-1,5.396706462E-1,-7.960867882E-2,-1.465872884E0
4.747602083E-1,2.258687168E-1,9.292637557E-2,-8.287131786E-1
4.948612084E-1,-3.102725446E-1,-1.126408055E-1,-2.384869605E-1
5.149622083E-1,-3.817448318E-1,1.538322568E-1,-3.178508580E-1
5.350642083E-1,-1.479412764E-1,-6.978027523E-2,-6.420509219E-1
5.551652084E-1,-3.370404989E-2,-7.601282001E-1,-9.612400532E-1
5.752662083E-1,-2.241033763E-1,-1.630270839E0,-1.080920935E0
5.953672084E-1,-6.429850459E-1,-2.084834337E0,-9.106516242E-1
6.154682083E-1,-9.149948955E-1,-1.589413047E0,-5.500258207E-1
6.355706250E-1,-1.146313429E0,2.034640014E-1,-3.088511825E-1
6.556716250E-1,-1.079779029E0,6.819819808E-1,-2.206849456E-1
6.757726250E-1,-8.674025536E-1,-1.079642586E-2,-3.479395807E-1
6.958736250E-1,-4.965655804E-1,-6.471021771E-1,-4.693944454E-1
7.159746250E-1,-2.145000696E-1,-8.794739246E-1,-4.861308336E-1
7.360766250E-1,4.579411354E-3,-9.418783188E-1,-1.814761311E-1
7.561776250E-1,1.303841323E-1,-9.670816660E-1,4.140096605E-1
7.762786250E-1,-2.268683314E-1,-8.413888812E-1,4.780189693E-1
7.963796250E-1,-8.705593944E-1,-5.319970846E-1,2.040436417E-1
8.164806250E-1,-1.246364236E0,-3.203713000E-1,1.022702083E-1
8.365826250E-1,-1.436889887E0,-8.775169402E-2,2.087822109E-1
8.566836250E-1,-1.516694188E0,1.983772814E-1,2.455287725E-1
8.767846250E-1,-1.498974800E0,1.953899413E-1,1.387640983E-1
8.968856250E-1,-1.254314423E0,-1.318085790E-1,1.152696908E-1
9.169866250E-1,-8.858928680E-1,-6.790561676E-1,1.941657811E-1
9.370886250E-1,-5.175978541E-1,-1.334938526E0,2.172838151E-1
9.571896250E-1,-3.793617785E-1,-2.043383598E0,2.653657794E-1
9.772906250E-1,-3.881876767E-1,-2.709518671E0,3.110824823E-1
9.973916250E-1,-3.048843145E-1,-2.796522617E0,5.651397109E-1
1.017492625E0,-4.186787903E-1,-2.387316465E0,7.997698188E-1
1.037594625E0,-5.839791298E-1,-2.154486418E0,1.022799969E0
1.057695625E0,-9.754479527E-1,-1.901284814E0,1.114370227E0
1.077796625E0,-1.387205720E0,-1.473865509E0,9.986833930E-1
1.097897625E0,-1.514276624E0,-7.741649151E-1,8.425408602E-1
1.117998625E0,-1.390545964E0,-1.143541932E-1,7.941701412E-1
1.138100625E0,-1.269388795E0,1.561993957E-1,7.460327148E-1
1.158201625E0,-1.207360864E0,-7.337521911E-1,5.349663496E-1
1.178302625E0,-1.125326991E0,-1.464506388E0,3.794716597E-1
1.198403625E0,-8.507362604E-1,-1.578716755E0,4.876828194E-1
1.218504625E0,-4.568604231E-1,-1.295925021E0,7.716134787E-1
1.238606625E0,-2.128140926E-1,-1.033008099E0,8.824085593E-1
1.258707625E0,-4.075896144E-1,-1.311189294E0,7.134015560E-1
1.278808625E0,-6.243144274E-1,-1.736839652E0,6.331967115E-1
1.298909625E0,-6.512058377E-1,-1.714460135E0,6.167636514E-1
1.319010625E0,-7.256198525E-1,-1.011330605E0,5.084451437E-1
1.339112625E0,-1.056484103E0,3.680112958E-1,1.794317216E-1
1.359213625E0,-1.329147339E0,1.145860434E0,8.308362216E-2
1.379314625E0,-1.429358244E0,9.966875911E-1,1.159432456E-1
1.399415625E0,-1.244624972E0,5.671892762E-1,1.717771143E-1
1.419517625E0,-9.613786340E-1,5.487470031E-1,1.085120216E-1
1.439618625E0,-6.829854846E-1,7.831451297E-1,-5.331842694E-4
1.459719625E0,-4.359258413E-1,8.359120488E-1,-4.376598820E-2
1.479820625E0,-2.780914605E-1,5.326009989E-1,-5.765074864E-2
1.499921625E0,-1.779329330E-1,-6.904581934E-2,-9.875665419E-3
1.520022625E0,-4.760098830E-2,-7.456761599E-1,1.375224739E-1
1.540124625E0,1.600845456E-1,-1.434780598E0,4.197906554E-1
1.560225625E0,4.984982908E-1,-2.214893818E0,7.581534982E-1
1.580326625E0,9.400214553E-1,-3.217199802E0,1.213445187E0
1.600427625E0,1.403640747E0,-4.007419586E0,1.679200530E0
1.620528625E0,1.627555490E0,-4.114582539E0,1.858444810E0
1.640630625E0,1.674744725E0,-3.587746143E0,1.894917250E0
1.660731625E0,1.742107987E0,-3.083996534E0,1.798790693E0
1.680832625E0,1.890255332E0,-3.013426065E0,1.772507668E0
1.700933625E0,1.989036322E0,-3.404297829E0,1.639432073E0
1.721035625E0,2.150099993E0,-4.643726826E0,8.189473152E-1
1.741136625E0,2.270293236E0,-6.156699657E0,-2.961485386E-1
1.761237625E0,1.268612146E0,-5.818341732E0,-2.309435457E-1
1.781338625E0,-4.845657647E-1,-3.739286661E0,2.971904874E-1
1.801439625E0,-8.589405417E-1,-2.153144121E0,-2.597183883E-1
1.821541625E0,-4.452167749E-1,-1.126725078E0,-1.168018579E0
1.841642625E0,1.958380789E-1,-4.883853197E-1,-1.475525618E0
1.861743625E0,6.847122908E-1,-2.469065189E-1,-1.183558226E0
1.881844625E0,9.375277162E-1,-5.324470997E-1,-7.970908880E-1
1.901945625E0,1.020253897E0,-8.660302162E-1,-5.396038890E-1
1.922047625E0,1.020580769E0,-8.641244769E-1,-3.840580583E-1
1.942148625E0,9.965567589E-1,-6.897194386E-1,-6.287320703E-2
1.962249625E0,1.428691745E0,-1.980250180E-1,3.450034857E-1
1.982350625E0,1.628996611E0,-4.647506475E-1,2.012336999E-1
2.002451625E0,1.675782442E0,-7.596579194E-1,-1.999105364E-1
2.022553625E0,1.468898892E0,-4.872377217E-1,-8.452941664E-3
2.042654625E0,9.176746011E-1,-4.293929040E-1,4.048401713E-1
2.062755625E0,2.137401402E-1,-6.484233737E-1,7.951543331E-1
2.082856625E0,-7.403017581E-2,-9.777863026E-1,1.434613824E0
2.102957625E0,1.677147448E-1,-5.659512281E-1,4.784604609E-1
2.123059625E0,7.440109849E-1,5.516781807E-1,-1.851749778E0
2.143160625E0,4.332287908E-1,1.147783518E0,-2.710422754E0
2.163261625E0,-8.712704480E-2,1.453893185E0,-2.572487831E0
2.183362625E0,-4.536558390E-1,9.969208837E-1,-1.526790023E0
2.203463625E0,-6.158767343E-1,1.787487864E-1,-3.088426590E-1
2.223565625E0,-3.515324891E-1,-6.949322820E-1,3.095652461E-1
2.243666625E0,2.131570131E-1,-9.992301464E-1,1.015874624E0
2.263767625E0,3.057023287E-1,-2.068738788E-1,1.858938336E0
2.283868625E0,-1.670855731E-1,-8.815694600E-3,1.763186336E0
2.303969625E0,-2.409277409E-1,-7.235630155E-1,1.339111805E0
2.324071625E0,2.786468863E-1,-1.345963120E0,1.647956252E0
2.344172625E0,9.200492501E-1,-7.440284491E-1,2.523597479E0
2.364273625E0,1.356243491E0,1.067427278E0,3.872172117E0
2.384374625E0,1.041509628E0,1.162436724E0,4.807417870E0
2.404475625E0,4.630873203E-1,2.185088694E-1,5.200039864E0
2.424577625E0,-1.038402170E-1,-5.328842998E-1,3.124492884E0
2.444678625E0,8.900646865E-2,-8.100567460E-1,1.392191768E0
2.464779625E0,2.724732757E-1,-5.866914392E-1,1.037794709E0
2.484880625E0,4.243073463E-1,-3.149028122E-1,1.092588902E0
2.504981625E0,3.964776993E-1,2.894889377E-2,1.195654273E0
2.525082625E0,1.806936115E-1,2.849019766E-1,1.540053248E0
2.545184625E0,-8.953206986E-2,3.343199492E-1,2.242729664E0
2.565285625E0,-1.417678967E-2,1.779438853E-1,2.991318226E0
2.585386625E0,2.735018730E-1,-3.151097596E-1,3.629209280E0
2.605487625E0,5.533131957E-1,-1.064806104E0,4.339823723E0
2.625589208E0,6.180731058E-1,-1.608422518E0,4.919114590E0
2.645691208E0,2.746019661E-1,-1.769204378E0,4.967575550E0
2.665792208E0,-1.689675301E-1,-1.867468834E0,4.481709003E0
2.685893208E0,-4.043484628E-1,-2.120738268E0,3.566681147E0
2.705994208E0,-6.120957136E-1,-2.016220331E0,2.556622028E0
2.726095208E0,-8.854256868E-1,-1.736093044E0,1.085782647E0
2.746197208E0,-7.148850560E-1,-1.961466432E0,-8.155869246E-1
2.766298208E0,1.305103004E-1,-1.593754768E0,-1.709405661E0
2.786399208E0,8.490529060E-1,-2.125636190E-1,-9.039550424E-1
2.806500208E0,7.625581622E-1,3.385415375E-1,-2.819468081E-1
2.826601208E0,6.322525442E-2,5.632333159E-1,-5.664513633E-2
2.846703208E0,-6.466771960E-1,7.578562498E-1,1.112518832E-1
2.866804208E0,-7.314988375E-1,6.852661371E-1,1.351420879E-1
2.886905208E0,-3.330914676E-1,4.517698288E-1,4.369409382E-2
2.907006208E0,-1.301984489E-2,2.449699938E-1,-8.483177423E-2
2.927107208E0,1.230406389E-2,6.891913246E-3,-1.048352420E-1
2.947208208E0,-1.896700636E-2,-1.556332558E-1,-6.276939809E-2
2.967310208E0,7.541990839E-3,-1.507778317E-1,-1.118984371E-1
2.987411208E0,6.189343520E-3,-4.849442467E-2,-1.302672178E-1
3.007512208E0,-5.120781809E-2,8.060016483E-2,-1.306571513E-1
3.027613208E0,-1.063359007E-1,1.996343285E-1,-1.244816482E-1
3.047714208E0,-1.328720003E-1,2.611050904E-1,-1.066106185E-1
3.067816208E0,-1.512246728E-1,2.879326940E-1,-8.408949524E-2
3.087917208E0,-1.575038135E-1,2.581328154E-1,-9.546406567E-2
3.108018208E0,-1.391219646E-1,1.903226972E-1,-1.100840494E-1
3.128119208E0,-1.235869154E-1,1.051559076E-1,-1.248896569E-1
