"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.926666829E-4,-2.669398956E0,2.414479065E0,8.689130859E0
1.940933336E-2,-2.266436920E0,2.522554321E0,1.094523926E1
3.951133334E-2,-1.426683197E0,2.491269379E0,1.253702911E1
5.961333332E-2,-1.135987701E0,2.341880035E0,1.091739716E1
7.971433335E-2,-2.057172089E0,2.381397858E0,8.710087280E0
9.981633333E-2,-2.397414551E0,2.200573883E0,7.403304749E0
1.199183334E-1,-2.450554047E0,1.948498077E0,7.928861847E0
1.400193333E-1,-2.210752716E0,2.045346680E0,9.421408081E0
1.601213333E-1,-1.970202942E0,1.992656250E0,9.972262573E0
1.802233334E-1,-1.940265198E0,2.318079529E0,9.395062866E0
2.003243333E-1,-1.936822357E0,2.800675964E0,8.792416077E0
2.204263334E-1,-1.902843018E0,3.019071808E0,8.632099457E0
2.405283334E-1,-1.893113251E0,2.692001953E0,8.158783722E0
2.606303333E-1,-2.072140961E0,2.248923340E0,7.903863831E0
2.807313334E-1,-2.148332520E0,2.642155609E0,8.323740692E0
3.008333333E-1,-1.967508545E0,3.010838928E0,9.034612427E0
3.209353333E-1,-1.509760437E0,2.995121613E0,9.468260651E0
3.410363334E-1,-8.699908447E-1,2.795736237E0,1.007958939E1
3.611383333E-1,-6.767427063E-1,2.853216705E0,9.845925293E0
3.812403334E-1,-1.171314240E0,2.199975128E0,9.072483673E0
4.013423334E-1,-1.713037720E0,2.674787750E0,8.275540924E0
4.214433333E-1,-1.030606842E0,2.564616852E0,7.769742737E0
4.415453334E-1,-4.049079895E-1,1.779349823E0,6.918462982E0
4.616473333E-1,1.839674377E-1,1.519041138E0,6.157295837E0
4.817483333E-1,3.091072083E-1,1.331331482E0,1.035157379E1
5.018503334E-1,2.661465454E0,4.340972900E-1,1.044333298E1
5.219523333E-1,5.029541016E0,-9.834548950E-1,1.075827805E1
5.420533334E-1,3.117866364E0,-1.235530701E0,1.219469101E1
5.621553333E-1,2.451901245E0,-1.423539734E0,1.152707932E1
5.822573333E-1,2.414329376E0,-1.030457153E0,1.146391068E1
6.023593334E-1,3.527863770E0,-1.469943237E-1,1.181014069E1
6.224603333E-1,3.853586426E0,-3.752696228E-1,1.316587143E1
6.425623333E-1,3.279829559E0,-7.222480774E-1,1.027792694E1
6.626643334E-1,1.979333954E0,-6.930587769E-1,9.924661560E0
6.827653333E-1,1.521735535E0,-5.658233643E-1,8.701405334E0
7.028673334E-1,1.497186584E0,3.876937866E-2,7.805817719E0
