"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-6.926666829E-4,-5.091872811E-1,-1.060094595E0,3.210575879E-1
1.940933336E-2,-5.669897199E-1,-7.045952678E-1,3.726148009E-1
3.951133334E-2,-2.617893368E-2,-1.321200132E-1,1.523255706E-1
5.961333332E-2,3.022708297E-1,1.742133200E-1,-7.630007714E-2
7.971433335E-2,2.440810949E-1,1.260643005E-1,-6.677418947E-2
9.981633333E-2,4.420925677E-2,-8.405803144E-2,7.138208300E-2
1.199183334E-1,-8.126264066E-2,-2.139007449E-1,2.854530215E-1
1.400193333E-1,1.996434852E-2,3.924195655E-3,4.420590401E-1
1.601213333E-1,1.727346331E-1,2.513525486E-1,5.214015841E-1
1.802233334E-1,2.482965142E-1,2.788045406E-1,5.376215577E-1
2.003243333E-1,2.048372030E-1,1.142015457E-1,4.382203221E-1
2.204263334E-1,8.537419885E-2,5.161323585E-3,2.644508481E-1
2.405283334E-1,-1.289906502E-1,-1.435850710E-1,2.039501220E-1
2.606303333E-1,-3.604518473E-1,-4.875368178E-1,3.206810653E-1
2.807313334E-1,-4.376282990E-1,-8.756387830E-1,3.756077588E-1
3.008333333E-1,-3.350092471E-1,-1.202909112E0,2.577333450E-1
3.209353333E-1,-1.956763119E-1,-1.380962610E0,1.040279120E-1
3.410363334E-1,-2.289121151E-1,-1.199643731E0,-3.145342227E-3
3.611383333E-1,-5.583670735E-1,-7.920283079E-1,-2.464043498E-1
3.812403334E-1,-1.152744293E0,-8.702488244E-2,-3.829547167E-1
4.013423334E-1,-1.820460439E0,-9.652509540E-2,-2.721976638E-1
4.214433333E-1,-2.057958603E0,-8.511202335E-1,-2.621845901E-1
4.415453334E-1,-1.843396068E0,-2.585984945E0,-3.335350752E-1
4.616473333E-1,-1.417593718E0,-4.679755688E0,-4.783351123E-1
4.817483333E-1,-1.813823223E0,-3.586195230E0,-4.941267967E-1
5.018503334E-1,-1.598859549E0,-3.015533209E0,3.588384986E-1
5.219523333E-1,-1.423704505E0,-2.520442247E0,9.314926863E-1
5.420533334E-1,-1.221046686E0,-1.155533552E0,1.682714462E0
5.621553333E-1,-1.087350488E0,-2.922410965E-1,2.241820574E0
5.822573333E-1,-1.111167669E0,1.796626449E-1,2.094249487E0
6.023593334E-1,-8.142966032E-1,5.741785765E-1,1.491850376E0
